epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.2817,1.30619,0.5415,1,1.0131,0.000414141,0.000414141,0.000414141
2,18.1462,1.15058,0.53745,1,0.99984,0.000830757,0.000830757,0.000830757
3,24.5844,1.136,0.48279,1,1.08608,0.00124717,0.00124717,0.00124717
4,30.8867,1.07868,0.49291,1,1.12754,0.00124931,0.00124931,0.00124931
5,37.204,1.0876,0.52733,1,0.99313,0.00124878,0.00124878,0.00124878
6,43.5408,1.06615,0.49798,1,1.11115,0.00124809,0.00124809,0.00124809
7,49.8216,1.0313,0.60223,1,0.8845,0.00124725,0.00124725,0.00124725
8,56.1454,1.02969,0.51619,1,1.01506,0.00124626,0.00124626,0.00124626
9,62.4863,0.99105,0.53745,1,0.9565,0.00124512,0.00124512,0.00124512
10,68.7655,0.98065,0.63158,1,0.83558,0.00124383,0.00124383,0.00124383
11,75.1572,0.95692,0.59615,1,0.90822,0.00124238,0.00124238,0.00124238
12,81.4983,0.97524,0.67915,1,0.76304,0.00124079,0.00124079,0.00124079
13,87.8571,0.91877,0.66093,1,0.77052,0.00123904,0.00123904,0.00123904
14,94.1345,0.8977,0.67611,1,0.7786,0.00123714,0.00123714,0.00123714
15,100.416,0.90207,0.63563,1,0.86583,0.0012351,0.0012351,0.0012351
16,106.748,0.88153,0.62551,1,0.81245,0.0012329,0.0012329,0.0012329
17,113.049,0.87495,0.70749,1,0.73456,0.00123056,0.00123056,0.00123056
18,119.391,0.83734,0.69534,1,0.74844,0.00122807,0.00122807,0.00122807
19,125.689,0.83053,0.71964,1,0.69399,0.00122543,0.00122543,0.00122543
20,131.99,0.80831,0.68016,1,0.75461,0.00122265,0.00122265,0.00122265
21,138.295,0.80839,0.70243,1,0.70645,0.00121972,0.00121972,0.00121972
22,144.678,0.77787,0.71053,1,0.72423,0.00121664,0.00121664,0.00121664
23,150.971,0.74273,0.73583,1,0.65227,0.00121342,0.00121342,0.00121342
24,157.293,0.77456,0.76822,1,0.60339,0.00121006,0.00121006,0.00121006
25,163.603,0.71896,0.71154,1,0.69453,0.00120655,0.00120655,0.00120655
26,169.971,0.71895,0.78947,1,0.5634,0.0012029,0.0012029,0.0012029
27,176.322,0.7243,0.75101,1,0.61956,0.00119911,0.00119911,0.00119911
28,182.62,0.68452,0.75709,1,0.58161,0.00119518,0.00119518,0.00119518
29,188.939,0.67849,0.78239,1,0.53184,0.00119111,0.00119111,0.00119111
30,195.244,0.71053,0.78138,1,0.55625,0.0011869,0.0011869,0.0011869
31,201.6,0.65202,0.77024,1,0.59175,0.00118256,0.00118256,0.00118256
32,207.922,0.62825,0.82287,1,0.46716,0.00117808,0.00117808,0.00117808
33,214.197,0.64394,0.77632,1,0.57824,0.00117346,0.00117346,0.00117346
34,220.554,0.62693,0.78543,1,0.52468,0.00116872,0.00116872,0.00116872
35,226.872,0.60435,0.77429,1,0.57827,0.00116383,0.00116383,0.00116383
36,233.178,0.61085,0.82186,1,0.45533,0.00115882,0.00115882,0.00115882
37,239.527,0.57796,0.81781,1,0.46361,0.00115368,0.00115368,0.00115368
38,245.832,0.58793,0.8502,1,0.41322,0.00114841,0.00114841,0.00114841
39,252.123,0.57831,0.87348,1,0.36458,0.00114301,0.00114301,0.00114301
40,258.477,0.5572,0.84717,1,0.38685,0.00113748,0.00113748,0.00113748
41,264.79,0.5577,0.86032,1,0.39953,0.00113183,0.00113183,0.00113183
42,271.098,0.51225,0.86437,1,0.3897,0.00112605,0.00112605,0.00112605
43,277.372,0.52246,0.82287,1,0.47112,0.00112016,0.00112016,0.00112016
44,283.702,0.52818,0.80567,1,0.49377,0.00111414,0.00111414,0.00111414
45,290.073,0.52093,0.68219,1,0.8679,0.00110801,0.00110801,0.00110801
46,296.367,0.49414,0.82794,1,0.45119,0.00110175,0.00110175,0.00110175
47,302.675,0.50996,0.86032,1,0.38026,0.00109538,0.00109538,0.00109538
48,309.015,0.48287,0.80061,1,0.47675,0.0010889,0.0010889,0.0010889
49,315.332,0.50337,0.81377,1,0.46982,0.0010823,0.0010823,0.0010823
50,321.694,0.48877,0.85628,1,0.37565,0.00107559,0.00107559,0.00107559
51,328.037,0.47386,0.86538,1,0.33478,0.00106877,0.00106877,0.00106877
52,334.397,0.46698,0.8664,1,0.34264,0.00106185,0.00106185,0.00106185
53,340.705,0.44912,0.87449,1,0.32047,0.00105481,0.00105481,0.00105481
54,347.073,0.4256,0.86842,1,0.33874,0.00104768,0.00104768,0.00104768
55,353.464,0.43314,0.87045,1,0.34694,0.00104044,0.00104044,0.00104044
56,359.788,0.4324,0.88462,1,0.28704,0.0010331,0.0010331,0.0010331
57,366.101,0.43671,0.87449,1,0.30905,0.00102566,0.00102566,0.00102566
58,372.443,0.45887,0.89069,1,0.29687,0.00101812,0.00101812,0.00101812
59,378.75,0.41595,0.85223,1,0.35717,0.00101049,0.00101049,0.00101049
60,385.115,0.39517,0.90081,1,0.27278,0.00100276,0.00100276,0.00100276
61,391.428,0.41563,0.88664,1,0.31022,0.000994942,0.000994942,0.000994942
62,397.738,0.41273,0.89271,1,0.28028,0.000987034,0.000987034,0.000987034
63,404.039,0.39326,0.89879,1,0.26663,0.000979039,0.000979039,0.000979039
64,410.385,0.37671,0.91599,1,0.23199,0.000970958,0.000970958,0.000970958
65,416.662,0.36434,0.89271,1,0.26535,0.000962793,0.000962793,0.000962793
66,422.964,0.3949,0.87652,1,0.2983,0.000954546,0.000954546,0.000954546
67,429.333,0.36413,0.90182,1,0.25309,0.000946219,0.000946219,0.000946219
68,435.679,0.36501,0.91194,1,0.25311,0.000937815,0.000937815,0.000937815
69,442.074,0.3762,0.91194,1,0.23706,0.000929335,0.000929335,0.000929335
70,448.366,0.34916,0.92105,1,0.23152,0.000920782,0.000920782,0.000920782
