epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.0732,1.26288,0.48901,1,1.10091,0.000414462,0.000414462,0.000414462
2,20.8383,1.11109,0.56816,1,0.9518,0.000827015,0.000827015,0.000827015
3,28.0892,1.07361,0.54793,1,0.98857,0.00123544,0.00123544,0.00123544
4,35.245,1.0597,0.59455,1,0.91711,0.00123144,0.00123144,0.00123144
5,42.3532,1.00371,0.57696,1,0.93753,0.00122525,0.00122525,0.00122525
6,49.4799,0.96946,0.61917,1,0.89256,0.00121906,0.00121906,0.00121906
7,56.6248,0.88951,0.62005,1,0.919,0.00121287,0.00121287,0.00121287
8,63.7857,0.85094,0.69657,1,0.70458,0.00120669,0.00120669,0.00120669
9,70.9071,0.846,0.63676,1,0.7888,0.0012005,0.0012005,0.0012005
10,78.1239,0.78169,0.73087,1,0.62162,0.00119431,0.00119431,0.00119431
11,85.247,0.76768,0.72032,1,0.71381,0.00118812,0.00118812,0.00118812
12,92.4261,0.73672,0.76693,1,0.5692,0.00118194,0.00118194,0.00118194
13,99.5159,0.71477,0.77397,1,0.57982,0.00117575,0.00117575,0.00117575
14,106.697,0.66267,0.74582,1,0.59555,0.00116956,0.00116956,0.00116956
15,113.856,0.63364,0.78716,1,0.53092,0.00116337,0.00116337,0.00116337
16,121.048,0.61906,0.82762,1,0.42495,0.00115719,0.00115719,0.00115719
17,128.177,0.59041,0.8153,1,0.47601,0.001151,0.001151,0.001151
18,135.351,0.55161,0.82498,1,0.43019,0.00114481,0.00114481,0.00114481
19,142.519,0.56786,0.77748,1,0.54898,0.00113863,0.00113863,0.00113863
20,149.718,0.53211,0.85752,1,0.36416,0.00113244,0.00113244,0.00113244
21,156.829,0.52505,0.76605,1,0.61445,0.00112625,0.00112625,0.00112625
22,163.998,0.50163,0.86895,1,0.37466,0.00112006,0.00112006,0.00112006
23,171.151,0.4933,0.86544,1,0.35442,0.00111388,0.00111388,0.00111388
24,178.383,0.44333,0.80387,1,0.49517,0.00110769,0.00110769,0.00110769
25,185.528,0.48535,0.8496,1,0.36805,0.0011015,0.0011015,0.0011015
26,192.682,0.42198,0.84609,1,0.38421,0.00109531,0.00109531,0.00109531
27,199.894,0.44373,0.8197,1,0.42963,0.00108913,0.00108913,0.00108913
28,207.056,0.41092,0.88566,1,0.30742,0.00108294,0.00108294,0.00108294
29,214.182,0.41909,0.87687,1,0.32971,0.00107675,0.00107675,0.00107675
30,221.368,0.40761,0.86631,1,0.31246,0.00107056,0.00107056,0.00107056
31,228.502,0.39281,0.88039,1,0.30061,0.00106437,0.00106437,0.00106437
32,235.665,0.38893,0.89886,1,0.28326,0.00105819,0.00105819,0.00105819
33,242.822,0.37288,0.90413,1,0.26016,0.001052,0.001052,0.001052
